full_name,primary_channel,primary_match_reason,primary_confidence,all_channels,channel_count
fdp_prd_itg_restricted.itg_restricted_finance.vw_unconsolidated_profit_and_loss_actual_plan_agg_mat_cust_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_unconsolidated_profit_and_loss_actual_plan_agg_mat_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_unconsolidated_profit_and_loss_actual_plan_agg_perf_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_unconsolidated_profit_and_loss_actual_plan_agg_profit_loss_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_unconsolidated_profit_and_loss_actual_plan_agg_seg_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_unconsolidated_profit_and_loss_actual_plan_agg_trans_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_unconsolidated_profit_and_loss_actual_plan_elim_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_unconsolidated_profit_and_loss_actual_plan_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_unconsolidated_profit_and_loss_actual_plan_opex_nzd_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_unconsolidated_profit_and_loss_plan_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_unconsolidated_profit_and_loss_plan_mysg_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_finance.vw_zcv_statistical_keyfigures_mainland,A,restricted_mainland_view,HIGH,"A,B",2
fdp_prd_itg_restricted.itg_restricted_mainland.au_farm_milksupply,A,whole_schema_mainland,HIGH,A,1
fdp_prd_srv_internal.srv_internal_korora.delivery_check_mainland,A,restricted_mainland_view,HIGH,"A,B",2
