node,is_seed,first_seen_hop,first_seen_dir,n_upstream,n_upstream_mainland,n_downstream,n_downstream_mainland,mainland_in_ratio,mainland_out_ratio,bridge_score,category,sep_business_entity,sep_location,sep_employee,sep_customer,sep_material,sep_sales_org,catalog,schema,table_name
fdp_prd_std_confidential.std_confidential_sapenthanadb.unconsolidated_profit_and_loss_actual_agg_collapsed,false,1,up,2,0,9,2,0.000,0.222,0.000,CO_MINGLED_DOWNSTREAM,1,0,0,1,1,0,fdp_prd_std_confidential,std_confidential_sapenthanadb,unconsolidated_profit_and_loss_actual_agg_collapsed
fdp_prd_std_confidential.std_confidential_sapenthanadb.unconsolidated_profit_and_loss_plan__zcv_data_hub_forecastpnl,false,1,up,0,0,5,3,,0.600,0.000,CO_MINGLED_DOWNSTREAM,1,0,0,1,1,0,fdp_prd_std_confidential,std_confidential_sapenthanadb,unconsolidated_profit_and_loss_plan__zcv_data_hub_forecastpnl
fdp_prd_std_confidential.std_confidential_sapenthanadb.unconsolidated_profit_and_loss_plan_agg_collapsed,false,1,up,2,0,9,2,0.000,0.222,0.000,CO_MINGLED_DOWNSTREAM,1,0,0,1,1,0,fdp_prd_std_confidential,std_confidential_sapenthanadb,unconsolidated_profit_and_loss_plan_agg_collapsed
fdp_prd_std_internal.std_internal_anzsap.master_data_material_unit_of_measure_hist,false,1,up,0,0,4,3,,0.750,0.000,CO_MINGLED_DOWNSTREAM,0,0,0,0,1,0,fdp_prd_std_internal,std_internal_anzsap,master_data_material_unit_of_measure_hist
fdp_prd_std_internal.std_internal_cfin.md_dim_date,false,1,up,1,0,4,2,0.000,0.500,0.000,CO_MINGLED_DOWNSTREAM,0,0,0,0,0,0,fdp_prd_std_internal,std_internal_cfin,md_dim_date
fdp_prd_std_internal.std_internal_manual_cfin.consolidated_reporting_hierarchy,false,1,up,0,0,3,1,,0.333,0.000,CO_MINGLED_DOWNSTREAM,0,0,0,0,0,0,fdp_prd_std_internal,std_internal_manual_cfin,consolidated_reporting_hierarchy
fdp_prd_std_internal.std_internal_sapentbw.company_code_s4__zs4compco,false,1,up,1,0,23,21,0.000,0.913,0.000,CO_MINGLED_DOWNSTREAM,0,0,0,0,0,0,fdp_prd_std_internal,std_internal_sapentbw,company_code_s4__zs4compco
fdp_prd_std_internal.std_internal_scv.scv_eventhub_bronzetable,false,1,up,0,0,3,1,,0.333,0.000,CO_MINGLED_DOWNSTREAM,0,0,0,0,0,0,fdp_prd_std_internal,std_internal_scv,scv_eventhub_bronzetable
fdp_dev_itg_internal.itg_internal_finance.dim_supplier,false,1,down,5,4,7,0,0.800,0.000,0.000,CO_MINGLED_UPSTREAM,0,0,0,0,0,0,fdp_dev_itg_internal,itg_internal_finance,dim_supplier
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_purchase_order_profile,false,1,down,7,5,4,0,0.714,0.000,0.000,CO_MINGLED_UPSTREAM,0,0,0,0,0,0,fdp_dev_itg_internal,itg_internal_source_to_pay,dim_purchase_order_profile
fdp_dev_itg_internal.itg_internal_source_to_pay.dim_supplier_invoice_profile,false,1,down,2,1,4,0,0.500,0.000,0.000,CO_MINGLED_UPSTREAM,0,0,0,0,0,0,fdp_dev_itg_internal,itg_internal_source_to_pay,dim_supplier_invoice_profile
fdp_dev_itg_restricted.itg_restricted_finance.stg_source_to_pay_purchase_order,false,1,down,3,1,7,0,0.333,0.000,0.000,CO_MINGLED_UPSTREAM,0,0,0,0,0,0,fdp_dev_itg_restricted,itg_restricted_finance,stg_source_to_pay_purchase_order
fdp_dev_srv_internal.srv_internal_sapanzecc.block_qi_stock,false,1,down,8,6,0,0,0.750,,0.000,CO_MINGLED_UPSTREAM,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,block_qi_stock
fdp_prd_itg_internal.itg_internal_finance.dim_supplier,false,1,down,5,4,8,0,0.800,0.000,0.000,CO_MINGLED_UPSTREAM,0,0,0,0,0,0,fdp_prd_itg_internal,itg_internal_finance,dim_supplier
fdp_prd_itg_internal.itg_internal_finance.open_po,false,1,down,5,4,1,0,0.800,0.000,0.000,CO_MINGLED_UPSTREAM,0,1,0,0,0,0,fdp_prd_itg_internal,itg_internal_finance,open_po
fdp_prd_itg_internal.itg_internal_source_to_pay.dim_purchase_order_profile,false,1,down,7,5,5,0,0.714,0.000,0.000,CO_MINGLED_UPSTREAM,0,0,0,0,0,0,fdp_prd_itg_internal,itg_internal_source_to_pay,dim_purchase_order_profile
fdp_prd_itg_internal.itg_internal_source_to_pay.dim_supplier_invoice_profile,false,1,down,2,1,5,0,0.500,0.000,0.000,CO_MINGLED_UPSTREAM,0,0,0,0,0,0,fdp_prd_itg_internal,itg_internal_source_to_pay,dim_supplier_invoice_profile
fdp_prd_itg_internal.itg_internal_source_to_pay.fact_accounting_document_payment_terms,false,1,down,5,1,1,0,0.200,0.000,0.000,CO_MINGLED_UPSTREAM,0,0,0,0,0,0,fdp_prd_itg_internal,itg_internal_source_to_pay,fact_accounting_document_payment_terms
fdp_prd_itg_internal.itg_internal_source_to_pay.fact_ml_recategorisation_spend,false,1,down,3,1,1,0,0.333,0.000,0.000,CO_MINGLED_UPSTREAM,0,0,0,0,0,0,fdp_prd_itg_internal,itg_internal_source_to_pay,fact_ml_recategorisation_spend
fdp_prd_itg_internal.itg_internal_sup.fact_delivery,false,1,down,3,2,1,0,0.667,0.000,0.000,CO_MINGLED_UPSTREAM,0,0,0,0,0,0,fdp_prd_itg_internal,itg_internal_sup,fact_delivery
fdp_prd_itg_restricted.itg_restricted_finance.stg_source_to_pay_purchase_order,false,1,down,3,1,7,0,0.333,0.000,0.000,CO_MINGLED_UPSTREAM,0,0,0,0,0,0,fdp_prd_itg_restricted,itg_restricted_finance,stg_source_to_pay_purchase_order
fdp_prd_srv_internal.srv_internal_sapanzecc.block_qi_stock,false,1,down,8,6,0,0,0.750,,0.000,CO_MINGLED_UPSTREAM,0,1,0,0,0,0,fdp_prd_srv_internal,srv_internal_sapanzecc,block_qi_stock
fdp_prd_std_internal.std_internal_afp.my_customer,false,1,down,6,5,1,0,0.833,0.000,0.000,CO_MINGLED_UPSTREAM,0,0,0,0,0,0,fdp_prd_std_internal,std_internal_afp,my_customer
fdp_prd_std_internal.std_internal_sea_afp.int_my_customer,false,1,down,6,5,1,0,0.833,0.000,0.000,CO_MINGLED_UPSTREAM,0,0,0,0,0,0,fdp_prd_std_internal,std_internal_sea_afp,int_my_customer
fdp_prd_std_internal.std_internal_source_to_pay.vim_parked_docs_anz,false,1,down,3,2,2,0,0.667,0.000,0.000,CO_MINGLED_UPSTREAM,1,1,0,0,0,0,fdp_prd_std_internal,std_internal_source_to_pay,vim_parked_docs_anz
